node_id,node_type,community,weighted_degree,raw_weighted_degree,snapshot_id,model_version
USR-00056,user,4,29.86876261343972,38.0,snap_b65ab0cef6cd9077,1.1.0
USR-00057,user,1,21.11734729638954,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00058,user,2,33.93747995200142,38.0,snap_b65ab0cef6cd9077,1.1.0
USR-00059,user,0,23.99596636534086,34.0,snap_b65ab0cef6cd9077,1.1.0
USR-00060,user,0,20.885889399031107,24.0,snap_b65ab0cef6cd9077,1.1.0
USR-00061,user,2,40.13511264294908,43.0,snap_b65ab0cef6cd9077,1.1.0
USR-00062,user,1,30.303278820241506,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00063,user,2,17.585279251844312,18.0,snap_b65ab0cef6cd9077,1.1.0
USR-00064,user,4,31.285412358152286,47.0,snap_b65ab0cef6cd9077,1.1.0
USR-00065,user,3,27.53132519296084,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00066,user,2,22.371012635207613,22.0,snap_b65ab0cef6cd9077,1.1.0
USR-00067,user,2,31.630323940896503,40.0,snap_b65ab0cef6cd9077,1.1.0
USR-00068,user,3,35.99890758733738,45.0,snap_b65ab0cef6cd9077,1.1.0
USR-00069,user,0,26.125839422640198,29.0,snap_b65ab0cef6cd9077,1.1.0
USR-00070,user,1,19.1599032476556,19.0,snap_b65ab0cef6cd9077,1.1.0
USR-00071,user,3,33.51210793656408,40.0,snap_b65ab0cef6cd9077,1.1.0
USR-00072,user,1,17.31517090463019,21.0,snap_b65ab0cef6cd9077,1.1.0
USR-00073,user,4,43.19552691689279,51.0,snap_b65ab0cef6cd9077,1.1.0
USR-00074,user,3,24.957061599294804,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00075,user,0,28.26337186518552,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00076,user,3,20.550815541508538,22.0,snap_b65ab0cef6cd9077,1.1.0
USR-00077,user,3,25.845202326547618,26.0,snap_b65ab0cef6cd9077,1.1.0
USR-00078,user,2,18.511092439040063,16.0,snap_b65ab0cef6cd9077,1.1.0
USR-00079,user,2,21.493163118055836,25.0,snap_b65ab0cef6cd9077,1.1.0
USR-00080,user,4,21.85511423782516,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00081,user,2,27.83710097707324,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00082,user,1,25.122930685687844,29.0,snap_b65ab0cef6cd9077,1.1.0
USR-00083,user,4,23.075552264502164,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00084,user,0,24.39640234852727,25.0,snap_b65ab0cef6cd9077,1.1.0
USR-00085,user,4,37.31764408215141,47.0,snap_b65ab0cef6cd9077,1.1.0
USR-00086,user,0,34.892277519852094,42.0,snap_b65ab0cef6cd9077,1.1.0
USR-00087,user,4,32.14872069019323,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00088,user,2,36.4466230170081,43.0,snap_b65ab0cef6cd9077,1.1.0
USR-00089,user,0,30.233095209642187,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00090,user,1,35.37251732453434,40.0,snap_b65ab0cef6cd9077,1.1.0
USR-00091,user,0,13.131091057708442,15.0,snap_b65ab0cef6cd9077,1.1.0
USR-00092,user,2,31.365611099033426,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00093,user,1,28.692017916126495,34.0,snap_b65ab0cef6cd9077,1.1.0
USR-00094,user,1,28.539111922892342,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00095,user,3,17.949426070839145,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00096,user,2,17.05343975973613,21.0,snap_b65ab0cef6cd9077,1.1.0
USR-00097,user,3,20.8629445209048,21.0,snap_b65ab0cef6cd9077,1.1.0
USR-00098,user,0,18.44457155899911,22.0,snap_b65ab0cef6cd9077,1.1.0
USR-00099,user,5,32.7041638484822,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00100,user,5,34.81187474782563,42.0,snap_b65ab0cef6cd9077,1.1.0
USR-00101,user,5,29.604808607069376,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00102,user,3,28.081179271279936,31.0,snap_b65ab0cef6cd9077,1.1.0
USR-00103,user,3,26.48100781764991,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00104,user,5,15.285546102434155,13.0,snap_b65ab0cef6cd9077,1.1.0
USR-00105,user,4,26.410376648414648,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00106,user,4,30.851748417967986,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00107,user,1,27.864076190784736,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00108,user,3,19.836056026832456,19.0,snap_b65ab0cef6cd9077,1.1.0
USR-00109,user,0,11.569587076933908,16.0,snap_b65ab0cef6cd9077,1.1.0
USR-00110,user,5,22.936587846597348,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00111,user,1,31.753260119550625,39.0,snap_b65ab0cef6cd9077,1.1.0
USR-00112,user,3,21.971244215627934,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00113,user,3,43.529814018015024,61.0,snap_b65ab0cef6cd9077,1.1.0
USR-00114,user,2,29.424954705441657,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00115,user,0,14.759116935294436,14.0,snap_b65ab0cef6cd9077,1.1.0
USR-00116,user,4,26.105780912397577,40.0,snap_b65ab0cef6cd9077,1.1.0
USR-00117,user,5,27.191916695114877,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00118,user,4,18.388266351242084,20.0,snap_b65ab0cef6cd9077,1.1.0
USR-00119,user,1,35.39221414957398,45.0,snap_b65ab0cef6cd9077,1.1.0
USR-00120,user,2,35.92558687407593,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00121,user,2,29.354478960823748,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00122,user,2,24.963948169603306,31.0,snap_b65ab0cef6cd9077,1.1.0
USR-00123,user,0,17.95670381952111,20.0,snap_b65ab0cef6cd9077,1.1.0
USR-00124,user,1,27.986786165920762,29.0,snap_b65ab0cef6cd9077,1.1.0
USR-00125,user,0,24.47484265152437,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00126,user,1,30.91963658501571,42.0,snap_b65ab0cef6cd9077,1.1.0
USR-00127,user,3,24.040435551719362,29.0,snap_b65ab0cef6cd9077,1.1.0
USR-00128,user,0,27.57812272404242,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00129,user,0,35.03021664330433,43.0,snap_b65ab0cef6cd9077,1.1.0
USR-00130,user,1,17.860605654150227,17.0,snap_b65ab0cef6cd9077,1.1.0
USR-00131,user,0,27.161512666434454,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00132,user,5,28.65636665601192,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00133,user,2,42.62384243040969,55.0,snap_b65ab0cef6cd9077,1.1.0
USR-00134,user,4,37.15706150606196,42.0,snap_b65ab0cef6cd9077,1.1.0
USR-00135,user,2,21.44173243337902,21.0,snap_b65ab0cef6cd9077,1.1.0
USR-00136,user,0,17.691979796689978,21.0,snap_b65ab0cef6cd9077,1.1.0
USR-00137,user,5,25.05010449729538,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00138,user,1,22.67642591162989,23.0,snap_b65ab0cef6cd9077,1.1.0
USR-00139,user,4,40.25383945434429,49.0,snap_b65ab0cef6cd9077,1.1.0
USR-00140,user,0,32.694075131082805,50.0,snap_b65ab0cef6cd9077,1.1.0
USR-00141,user,1,20.14421358113364,22.0,snap_b65ab0cef6cd9077,1.1.0
USR-00142,user,1,21.783813138250682,23.0,snap_b65ab0cef6cd9077,1.1.0
USR-00143,user,5,28.6700443600813,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00144,user,2,22.401230313102094,26.0,snap_b65ab0cef6cd9077,1.1.0
USR-00145,user,1,25.547941394804745,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00146,user,3,17.419287913022217,23.0,snap_b65ab0cef6cd9077,1.1.0
USR-00147,user,3,25.558419364363232,29.0,snap_b65ab0cef6cd9077,1.1.0
USR-00148,user,1,34.663269642416594,43.0,snap_b65ab0cef6cd9077,1.1.0
USR-00149,user,1,36.720391582763696,54.0,snap_b65ab0cef6cd9077,1.1.0
USR-00150,user,2,28.347552305123273,42.0,snap_b65ab0cef6cd9077,1.1.0
USR-00151,user,4,24.25403361336226,26.0,snap_b65ab0cef6cd9077,1.1.0
USR-00152,user,5,32.47902101101865,34.0,snap_b65ab0cef6cd9077,1.1.0
USR-00153,user,0,24.998802024819412,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00154,user,2,25.732166297314954,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00155,user,0,37.35143104946138,45.0,snap_b65ab0cef6cd9077,1.1.0
USR-00156,user,2,19.656995731197828,24.0,snap_b65ab0cef6cd9077,1.1.0
USR-00157,user,3,25.147967304872616,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00158,user,2,19.149901238752268,26.0,snap_b65ab0cef6cd9077,1.1.0
USR-00159,user,4,21.619072581754107,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00160,user,4,16.81372194430653,17.0,snap_b65ab0cef6cd9077,1.1.0
USR-00161,user,3,35.87291602867546,48.0,snap_b65ab0cef6cd9077,1.1.0
USR-00162,user,5,20.27678952614688,24.0,snap_b65ab0cef6cd9077,1.1.0
USR-00163,user,3,18.87278087120486,22.0,snap_b65ab0cef6cd9077,1.1.0
USR-00164,user,0,19.18869697560598,26.0,snap_b65ab0cef6cd9077,1.1.0
USR-00165,user,2,21.625748289717045,26.0,snap_b65ab0cef6cd9077,1.1.0
USR-00166,user,3,39.681427168634414,49.0,snap_b65ab0cef6cd9077,1.1.0
USR-00167,user,4,42.94000480711948,56.0,snap_b65ab0cef6cd9077,1.1.0
USR-00168,user,3,35.08402511316215,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00169,user,3,19.46544915403684,21.0,snap_b65ab0cef6cd9077,1.1.0
USR-00170,user,5,38.10055393647394,45.0,snap_b65ab0cef6cd9077,1.1.0
USR-00171,user,3,18.708631972042525,22.0,snap_b65ab0cef6cd9077,1.1.0
USR-00172,user,1,37.96173651530434,47.0,snap_b65ab0cef6cd9077,1.1.0
USR-00173,user,3,27.09034659194902,29.0,snap_b65ab0cef6cd9077,1.1.0
USR-00174,user,5,44.63106593750032,57.0,snap_b65ab0cef6cd9077,1.1.0
USR-00175,user,0,23.330760239944624,39.0,snap_b65ab0cef6cd9077,1.1.0
USR-00176,user,0,27.75038128325178,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00177,user,1,25.69284424588931,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00178,user,5,24.640201855649504,29.0,snap_b65ab0cef6cd9077,1.1.0
USR-00179,user,5,22.90823986878106,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00180,user,4,44.43455041369553,57.0,snap_b65ab0cef6cd9077,1.1.0
USR-00181,user,5,23.96339179088001,25.0,snap_b65ab0cef6cd9077,1.1.0
USR-00182,user,5,25.34815506786095,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00183,user,1,28.421285198509064,38.0,snap_b65ab0cef6cd9077,1.1.0
USR-00184,user,3,8.631792729861896,9.0,snap_b65ab0cef6cd9077,1.1.0
USR-00185,user,4,25.017800061429288,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00186,user,2,31.691447494152648,43.0,snap_b65ab0cef6cd9077,1.1.0
USR-00187,user,3,28.53564739371887,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00188,user,0,12.685183278850442,12.0,snap_b65ab0cef6cd9077,1.1.0
USR-00189,user,4,35.508711651153064,47.0,snap_b65ab0cef6cd9077,1.1.0
USR-00190,user,3,20.9719971818537,25.0,snap_b65ab0cef6cd9077,1.1.0
USR-00191,user,5,23.395909203717736,25.0,snap_b65ab0cef6cd9077,1.1.0
USR-00192,user,3,16.506169866719617,21.0,snap_b65ab0cef6cd9077,1.1.0
USR-00193,user,0,21.974913656224146,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00194,user,4,34.88945390925479,50.0,snap_b65ab0cef6cd9077,1.1.0
USR-00195,user,0,20.873580700206105,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00196,user,0,21.49044392956883,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00197,user,2,21.50148980803912,21.0,snap_b65ab0cef6cd9077,1.1.0
USR-00198,user,5,24.366369467026807,25.0,snap_b65ab0cef6cd9077,1.1.0
USR-00199,user,0,26.2161530043687,42.0,snap_b65ab0cef6cd9077,1.1.0
USR-00200,user,3,16.50157410323709,15.0,snap_b65ab0cef6cd9077,1.1.0
USR-00201,user,4,22.612300525247175,24.0,snap_b65ab0cef6cd9077,1.1.0
USR-00202,user,5,37.5044713180504,43.0,snap_b65ab0cef6cd9077,1.1.0
USR-00203,user,1,20.002004880389137,22.0,snap_b65ab0cef6cd9077,1.1.0
USR-00204,user,0,33.04157211697031,38.0,snap_b65ab0cef6cd9077,1.1.0
USR-00205,user,0,27.222468194564037,41.0,snap_b65ab0cef6cd9077,1.1.0
USR-00206,user,3,35.82716134366436,55.0,snap_b65ab0cef6cd9077,1.1.0
USR-00207,user,0,29.66780251236631,51.0,snap_b65ab0cef6cd9077,1.1.0
USR-00208,user,2,22.882756647415178,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00209,user,4,29.27742106857162,40.0,snap_b65ab0cef6cd9077,1.1.0
USR-00210,user,1,22.160362894277046,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00211,user,2,22.667268270967707,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00212,user,2,11.916394792363992,16.0,snap_b65ab0cef6cd9077,1.1.0
USR-00213,user,0,40.39793555014428,56.0,snap_b65ab0cef6cd9077,1.1.0
USR-00214,user,4,23.422852047041467,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00215,user,4,25.651310758732414,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00216,user,4,26.337591303119197,36.0,snap_b65ab0cef6cd9077,1.1.0
USR-00217,user,1,41.840114083050054,53.0,snap_b65ab0cef6cd9077,1.1.0
USR-00218,user,0,15.99191974519049,18.0,snap_b65ab0cef6cd9077,1.1.0
USR-00219,user,5,33.045027135254344,38.0,snap_b65ab0cef6cd9077,1.1.0
USR-00220,user,1,15.462532254302047,17.0,snap_b65ab0cef6cd9077,1.1.0
USR-00221,user,3,19.84678046788635,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00222,user,1,21.62705628610124,25.0,snap_b65ab0cef6cd9077,1.1.0
USR-00223,user,5,31.71811519373248,31.0,snap_b65ab0cef6cd9077,1.1.0
USR-00224,user,5,14.62886507826301,15.0,snap_b65ab0cef6cd9077,1.1.0
USR-00225,user,3,22.614864762153065,23.0,snap_b65ab0cef6cd9077,1.1.0
USR-00226,user,5,28.749485526134173,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00227,user,0,18.356488829900666,20.0,snap_b65ab0cef6cd9077,1.1.0
USR-00228,user,2,26.210860881837174,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00229,user,2,29.37733258104658,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00230,user,0,20.99191798953323,23.0,snap_b65ab0cef6cd9077,1.1.0
USR-00231,user,0,28.359486903417253,41.0,snap_b65ab0cef6cd9077,1.1.0
USR-00232,user,1,25.776086412167672,38.0,snap_b65ab0cef6cd9077,1.1.0
USR-00233,user,5,18.250930929135087,19.0,snap_b65ab0cef6cd9077,1.1.0
USR-00234,user,2,30.822140194282518,47.0,snap_b65ab0cef6cd9077,1.1.0
USR-00235,user,5,34.88930778042129,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00236,user,4,46.374430826128105,69.0,snap_b65ab0cef6cd9077,1.1.0
USR-00237,user,1,15.965869328771669,19.0,snap_b65ab0cef6cd9077,1.1.0
USR-00238,user,2,35.87373908330721,41.0,snap_b65ab0cef6cd9077,1.1.0
USR-00239,user,5,29.873420801392648,34.0,snap_b65ab0cef6cd9077,1.1.0
USR-00240,user,0,25.530098632518385,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00241,user,4,31.060252947344477,34.0,snap_b65ab0cef6cd9077,1.1.0
USR-00242,user,4,16.33763650851373,24.0,snap_b65ab0cef6cd9077,1.1.0
USR-00243,user,4,44.94571434255094,58.0,snap_b65ab0cef6cd9077,1.1.0
USR-00244,user,1,28.4838597200627,26.0,snap_b65ab0cef6cd9077,1.1.0
USR-00245,user,2,21.154783995886394,24.0,snap_b65ab0cef6cd9077,1.1.0
USR-00246,user,5,30.58554509356687,39.0,snap_b65ab0cef6cd9077,1.1.0
USR-00247,user,2,33.273781258530825,39.0,snap_b65ab0cef6cd9077,1.1.0
USR-00248,user,1,28.528602647423334,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00249,user,3,29.21754018467511,44.0,snap_b65ab0cef6cd9077,1.1.0
USR-00250,user,1,36.63269134224128,52.0,snap_b65ab0cef6cd9077,1.1.0
USR-00251,user,2,32.35183619824318,39.0,snap_b65ab0cef6cd9077,1.1.0
USR-00252,user,5,27.78705508412399,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00253,user,1,17.147669071874855,17.0,snap_b65ab0cef6cd9077,1.1.0
USR-00254,user,3,27.857856091546765,38.0,snap_b65ab0cef6cd9077,1.1.0
USR-00255,user,3,43.26020964725332,56.0,snap_b65ab0cef6cd9077,1.1.0
USR-00256,user,4,25.352672121365753,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00257,user,4,22.481021434724187,31.0,snap_b65ab0cef6cd9077,1.1.0
USR-00258,user,0,29.66018153624501,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00259,user,2,33.41574460378104,39.0,snap_b65ab0cef6cd9077,1.1.0
USR-00260,user,2,34.14019257463208,42.0,snap_b65ab0cef6cd9077,1.1.0
USR-00261,user,0,36.256439089269634,52.0,snap_b65ab0cef6cd9077,1.1.0
USR-00262,user,0,29.65179318033333,40.0,snap_b65ab0cef6cd9077,1.1.0
USR-00263,user,3,20.66268244011195,21.0,snap_b65ab0cef6cd9077,1.1.0
USR-00264,user,0,14.552872553611868,18.0,snap_b65ab0cef6cd9077,1.1.0
USR-00265,user,5,43.21152316854734,50.0,snap_b65ab0cef6cd9077,1.1.0
USR-00266,user,0,22.26273131274099,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00267,user,3,31.504901046118476,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00268,user,1,28.12171247862356,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00269,user,1,39.03673375936361,48.0,snap_b65ab0cef6cd9077,1.1.0
USR-00270,user,0,18.346358800572617,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00271,user,0,24.44949033842455,34.0,snap_b65ab0cef6cd9077,1.1.0
USR-00272,user,0,31.27169985531292,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00273,user,0,28.587426917712172,44.0,snap_b65ab0cef6cd9077,1.1.0
USR-00274,user,2,28.999261599374886,39.0,snap_b65ab0cef6cd9077,1.1.0
USR-00275,user,2,27.506900720221992,31.0,snap_b65ab0cef6cd9077,1.1.0
USR-00276,user,1,19.77225887284426,24.0,snap_b65ab0cef6cd9077,1.1.0
USR-00277,user,3,29.013373344949255,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00278,user,1,22.50005527746901,31.0,snap_b65ab0cef6cd9077,1.1.0
USR-00279,user,5,45.73575597976221,56.0,snap_b65ab0cef6cd9077,1.1.0
USR-00280,user,4,37.28286561725246,41.0,snap_b65ab0cef6cd9077,1.1.0
USR-00281,user,0,23.281717237880073,39.0,snap_b65ab0cef6cd9077,1.1.0
USR-00282,user,0,31.136855534880414,45.0,snap_b65ab0cef6cd9077,1.1.0
USR-00283,user,3,25.45425672916304,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00284,user,3,26.112687451043314,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00285,user,2,25.802873381253313,25.0,snap_b65ab0cef6cd9077,1.1.0
