user_id,category_id,category_name,category_family,interaction_weight,train_weight,test_weight
USR-00014,CAT-021,Toys,Family,9,6,3
USR-00014,CAT-023,Books,Family,8,5,3
USR-00014,CAT-024,Stationery,Family,11,9,2
USR-00014,CAT-025,Board games,Family,10,9,1
USR-00015,CAT-011,Clothing,Style,7,6,1
USR-00015,CAT-012,Shoes,Style,7,4,3
USR-00015,CAT-013,Bags,Style,12,8,4
USR-00015,CAT-014,Accessories,Style,2,1,1
USR-00015,CAT-015,Jewelry,Style,11,8,3
USR-00015,CAT-025,Board games,Family,5,3,2
USR-00016,CAT-006,Kitchen appliances,Home,14,11,3
USR-00016,CAT-007,Cleaning,Home,6,5,1
USR-00016,CAT-008,Coffee,Home,10,8,2
USR-00016,CAT-009,Lighting,Home,8,7,1
USR-00016,CAT-014,Accessories,Style,1,1,0
USR-00017,CAT-004,Monitors,Digital,4,2,2
USR-00017,CAT-016,Skincare,Wellness,9,7,2
USR-00017,CAT-017,Haircare,Wellness,7,5,2
USR-00017,CAT-018,Supplements,Wellness,6,5,1
USR-00017,CAT-019,Fitness,Wellness,8,6,2
USR-00018,CAT-001,Smartphones,Digital,11,8,3
USR-00018,CAT-002,Laptops,Digital,12,9,3
USR-00018,CAT-003,Headphones,Digital,7,6,1
USR-00018,CAT-004,Monitors,Digital,9,5,4
USR-00018,CAT-005,Storage,Digital,10,9,1
USR-00018,CAT-011,Clothing,Style,3,2,1
USR-00019,CAT-004,Monitors,Digital,2,2,0
USR-00019,CAT-008,Coffee,Home,3,3,0
USR-00019,CAT-021,Toys,Family,6,2,4
USR-00019,CAT-023,Books,Family,6,4,2
USR-00019,CAT-024,Stationery,Family,6,5,1
USR-00019,CAT-025,Board games,Family,11,8,3
USR-00020,CAT-013,Bags,Style,2,1,1
USR-00020,CAT-016,Skincare,Wellness,7,6,1
USR-00020,CAT-017,Haircare,Wellness,8,5,3
USR-00020,CAT-018,Supplements,Wellness,10,5,5
USR-00020,CAT-020,Personal care,Wellness,7,6,1
USR-00021,CAT-019,Fitness,Wellness,5,4,1
USR-00021,CAT-021,Toys,Family,10,9,1
USR-00021,CAT-023,Books,Family,8,7,1
USR-00021,CAT-024,Stationery,Family,9,6,3
USR-00021,CAT-025,Board games,Family,11,7,4
USR-00022,CAT-002,Laptops,Digital,7,6,1
USR-00022,CAT-003,Headphones,Digital,8,7,1
USR-00022,CAT-004,Monitors,Digital,6,5,1
USR-00022,CAT-006,Kitchen appliances,Home,17,14,3
USR-00022,CAT-007,Cleaning,Home,4,3,1
USR-00022,CAT-008,Coffee,Home,7,4,3
USR-00022,CAT-009,Lighting,Home,9,6,3
USR-00022,CAT-010,Bedding,Home,5,3,2
USR-00023,CAT-007,Cleaning,Home,1,1,0
USR-00023,CAT-024,Stationery,Family,4,3,1
USR-00023,CAT-026,Cycling,Outdoor,12,7,5
USR-00023,CAT-027,Camping,Outdoor,7,5,2
USR-00023,CAT-029,Automotive,Outdoor,9,7,2
USR-00024,CAT-026,Cycling,Outdoor,10,7,3
USR-00024,CAT-027,Camping,Outdoor,8,6,2
USR-00024,CAT-028,Garden,Outdoor,6,5,1
USR-00024,CAT-029,Automotive,Outdoor,7,6,1
USR-00024,CAT-030,Sports,Outdoor,9,6,3
USR-00025,CAT-009,Lighting,Home,5,4,1
USR-00025,CAT-013,Bags,Style,3,2,1
USR-00025,CAT-021,Toys,Family,13,8,5
USR-00025,CAT-022,Baby care,Family,11,6,5
USR-00025,CAT-023,Books,Family,4,3,1
USR-00025,CAT-024,Stationery,Family,8,7,1
USR-00025,CAT-025,Board games,Family,9,8,1
USR-00026,CAT-001,Smartphones,Digital,7,7,0
USR-00026,CAT-003,Headphones,Digital,10,9,1
USR-00026,CAT-004,Monitors,Digital,5,5,0
USR-00026,CAT-005,Storage,Digital,8,5,3
USR-00026,CAT-011,Clothing,Style,6,6,0
USR-00026,CAT-012,Shoes,Style,5,5,0
USR-00026,CAT-015,Jewelry,Style,5,4,1
USR-00027,CAT-011,Clothing,Style,7,5,2
USR-00027,CAT-012,Shoes,Style,5,5,0
USR-00027,CAT-013,Bags,Style,8,8,0
USR-00027,CAT-014,Accessories,Style,11,6,5
USR-00027,CAT-015,Jewelry,Style,8,6,2
USR-00027,CAT-027,Camping,Outdoor,7,4,3
USR-00027,CAT-029,Automotive,Outdoor,6,6,0
USR-00027,CAT-030,Sports,Outdoor,10,7,3
USR-00028,CAT-001,Smartphones,Digital,12,11,1
USR-00028,CAT-002,Laptops,Digital,13,10,3
USR-00028,CAT-003,Headphones,Digital,11,8,3
USR-00028,CAT-005,Storage,Digital,9,8,1
USR-00028,CAT-008,Coffee,Home,6,6,0
USR-00028,CAT-009,Lighting,Home,10,8,2
USR-00028,CAT-010,Bedding,Home,4,3,1
USR-00029,CAT-001,Smartphones,Digital,10,8,2
USR-00029,CAT-002,Laptops,Digital,7,5,2
USR-00029,CAT-003,Headphones,Digital,9,6,3
USR-00029,CAT-004,Monitors,Digital,9,7,2
USR-00029,CAT-005,Storage,Digital,12,8,4
USR-00030,CAT-004,Monitors,Digital,5,2,3
USR-00030,CAT-010,Bedding,Home,2,1,1
USR-00030,CAT-017,Haircare,Wellness,6,5,1
USR-00030,CAT-018,Supplements,Wellness,10,9,1
USR-00030,CAT-019,Fitness,Wellness,10,7,3
USR-00030,CAT-020,Personal care,Wellness,8,7,1
USR-00031,CAT-021,Toys,Family,5,3,2
USR-00031,CAT-023,Books,Family,10,9,1
USR-00031,CAT-025,Board games,Family,11,10,1
USR-00032,CAT-016,Skincare,Wellness,15,12,3
USR-00032,CAT-018,Supplements,Wellness,6,5,1
USR-00032,CAT-019,Fitness,Wellness,9,9,0
USR-00032,CAT-026,Cycling,Outdoor,15,9,6
USR-00032,CAT-027,Camping,Outdoor,11,9,2
USR-00032,CAT-030,Sports,Outdoor,7,7,0
USR-00033,CAT-006,Kitchen appliances,Home,12,11,1
USR-00033,CAT-007,Cleaning,Home,7,7,0
USR-00033,CAT-008,Coffee,Home,9,7,2
USR-00033,CAT-009,Lighting,Home,11,8,3
USR-00033,CAT-010,Bedding,Home,10,8,2
USR-00033,CAT-013,Bags,Style,4,4,0
USR-00034,CAT-006,Kitchen appliances,Home,10,7,3
USR-00034,CAT-007,Cleaning,Home,8,7,1
USR-00034,CAT-008,Coffee,Home,13,13,0
USR-00034,CAT-009,Lighting,Home,5,4,1
USR-00034,CAT-021,Toys,Family,6,6,0
USR-00034,CAT-022,Baby care,Family,7,7,0
USR-00034,CAT-023,Books,Family,7,7,0
USR-00035,CAT-011,Clothing,Style,14,12,2
USR-00035,CAT-012,Shoes,Style,6,5,1
USR-00035,CAT-014,Accessories,Style,9,7,2
USR-00035,CAT-021,Toys,Family,3,1,2
USR-00036,CAT-001,Smartphones,Digital,10,8,2
USR-00036,CAT-002,Laptops,Digital,13,9,4
USR-00036,CAT-003,Headphones,Digital,9,5,4
USR-00036,CAT-005,Storage,Digital,10,8,2
USR-00036,CAT-013,Bags,Style,1,1,0
USR-00036,CAT-024,Stationery,Family,3,3,0
USR-00037,CAT-001,Smartphones,Digital,6,4,2
USR-00037,CAT-002,Laptops,Digital,5,4,1
USR-00037,CAT-003,Headphones,Digital,6,5,1
USR-00037,CAT-004,Monitors,Digital,7,5,2
USR-00037,CAT-005,Storage,Digital,10,10,0
USR-00038,CAT-011,Clothing,Style,5,3,2
USR-00038,CAT-012,Shoes,Style,6,4,2
USR-00038,CAT-013,Bags,Style,10,8,2
USR-00038,CAT-015,Jewelry,Style,9,7,2
USR-00038,CAT-022,Baby care,Family,5,4,1
USR-00039,CAT-006,Kitchen appliances,Home,11,9,2
USR-00039,CAT-007,Cleaning,Home,10,8,2
USR-00039,CAT-009,Lighting,Home,9,9,0
USR-00039,CAT-010,Bedding,Home,4,3,1
USR-00039,CAT-026,Cycling,Outdoor,8,4,4
USR-00039,CAT-029,Automotive,Outdoor,5,4,1
USR-00039,CAT-030,Sports,Outdoor,9,9,0
USR-00040,CAT-016,Skincare,Wellness,11,8,3
USR-00040,CAT-018,Supplements,Wellness,8,7,1
USR-00040,CAT-019,Fitness,Wellness,9,8,1
USR-00040,CAT-023,Books,Family,10,8,2
USR-00040,CAT-024,Stationery,Family,7,7,0
USR-00040,CAT-025,Board games,Family,7,5,2
USR-00041,CAT-011,Clothing,Style,8,7,1
USR-00041,CAT-012,Shoes,Style,9,6,3
USR-00041,CAT-013,Bags,Style,8,8,0
USR-00041,CAT-014,Accessories,Style,11,11,0
USR-00041,CAT-015,Jewelry,Style,11,7,4
USR-00041,CAT-026,Cycling,Outdoor,7,6,1
USR-00041,CAT-027,Camping,Outdoor,6,4,2
USR-00041,CAT-029,Automotive,Outdoor,10,10,0
USR-00042,CAT-009,Lighting,Home,1,1,0
USR-00042,CAT-021,Toys,Family,8,5,3
USR-00042,CAT-022,Baby care,Family,7,7,0
USR-00042,CAT-023,Books,Family,7,6,1
USR-00042,CAT-024,Stationery,Family,8,7,1
USR-00042,CAT-025,Board games,Family,8,7,1
USR-00043,CAT-004,Monitors,Digital,3,3,0
USR-00043,CAT-016,Skincare,Wellness,7,5,2
USR-00043,CAT-017,Haircare,Wellness,10,10,0
USR-00043,CAT-018,Supplements,Wellness,7,6,1
USR-00043,CAT-019,Fitness,Wellness,6,5,1
USR-00043,CAT-020,Personal care,Wellness,8,4,4
USR-00044,CAT-003,Headphones,Digital,2,1,1
USR-00044,CAT-008,Coffee,Home,4,3,1
USR-00044,CAT-009,Lighting,Home,9,6,3
USR-00044,CAT-010,Bedding,Home,10,9,1
USR-00045,CAT-021,Toys,Family,7,7,0
USR-00045,CAT-022,Baby care,Family,13,12,1
USR-00045,CAT-024,Stationery,Family,6,6,0
USR-00046,CAT-001,Smartphones,Digital,7,6,1
USR-00046,CAT-002,Laptops,Digital,8,6,2
USR-00046,CAT-003,Headphones,Digital,6,5,1
USR-00046,CAT-022,Baby care,Family,7,6,1
USR-00046,CAT-023,Books,Family,11,9,2
USR-00046,CAT-025,Board games,Family,9,8,1
USR-00047,CAT-002,Laptops,Digital,2,1,1
USR-00047,CAT-011,Clothing,Style,9,8,1
USR-00047,CAT-012,Shoes,Style,4,4,0
USR-00047,CAT-014,Accessories,Style,6,5,1
USR-00047,CAT-015,Jewelry,Style,13,10,3
USR-00047,CAT-019,Fitness,Wellness,1,1,0
USR-00048,CAT-006,Kitchen appliances,Home,6,4,2
USR-00048,CAT-007,Cleaning,Home,8,7,1
USR-00048,CAT-008,Coffee,Home,11,10,1
USR-00048,CAT-009,Lighting,Home,14,9,5
USR-00048,CAT-010,Bedding,Home,5,4,1
USR-00049,CAT-002,Laptops,Digital,3,3,0
USR-00049,CAT-016,Skincare,Wellness,6,6,0
USR-00049,CAT-017,Haircare,Wellness,8,7,1
USR-00049,CAT-018,Supplements,Wellness,12,9,3
USR-00049,CAT-019,Fitness,Wellness,10,5,5
USR-00049,CAT-020,Personal care,Wellness,9,8,1
USR-00049,CAT-026,Cycling,Outdoor,1,1,0
USR-00050,CAT-001,Smartphones,Digital,7,4,3
USR-00050,CAT-004,Monitors,Digital,6,5,1
USR-00050,CAT-005,Storage,Digital,7,5,2
USR-00050,CAT-027,Camping,Outdoor,4,4,0
USR-00051,CAT-001,Smartphones,Digital,5,4,1
USR-00051,CAT-003,Headphones,Digital,17,15,2
USR-00051,CAT-004,Monitors,Digital,16,13,3
USR-00051,CAT-005,Storage,Digital,10,9,1
USR-00051,CAT-015,Jewelry,Style,4,3,1
USR-00052,CAT-002,Laptops,Digital,5,4,1
USR-00052,CAT-003,Headphones,Digital,11,8,3
USR-00052,CAT-004,Monitors,Digital,10,9,1
USR-00052,CAT-005,Storage,Digital,15,13,2
USR-00052,CAT-007,Cleaning,Home,7,6,1
USR-00052,CAT-009,Lighting,Home,11,10,1
USR-00052,CAT-010,Bedding,Home,7,5,2
USR-00053,CAT-021,Toys,Family,7,4,3
USR-00053,CAT-022,Baby care,Family,11,10,1
USR-00053,CAT-024,Stationery,Family,10,10,0
USR-00053,CAT-026,Cycling,Outdoor,10,10,0
USR-00053,CAT-028,Garden,Outdoor,5,5,0
USR-00053,CAT-029,Automotive,Outdoor,8,7,1
USR-00054,CAT-007,Cleaning,Home,1,1,0
USR-00054,CAT-016,Skincare,Wellness,11,9,2
USR-00054,CAT-017,Haircare,Wellness,6,5,1
USR-00054,CAT-018,Supplements,Wellness,7,4,3
USR-00054,CAT-019,Fitness,Wellness,8,5,3
USR-00054,CAT-020,Personal care,Wellness,9,9,0
USR-00055,CAT-017,Haircare,Wellness,8,7,1
USR-00055,CAT-019,Fitness,Wellness,7,3,4
USR-00055,CAT-020,Personal care,Wellness,6,4,2
USR-00056,CAT-022,Baby care,Family,8,5,3
USR-00056,CAT-023,Books,Family,9,6,3
USR-00056,CAT-024,Stationery,Family,9,8,1
USR-00056,CAT-025,Board games,Family,19,15,4
USR-00056,CAT-028,Garden,Outdoor,3,2,1
USR-00056,CAT-029,Automotive,Outdoor,3,2,1
USR-00057,CAT-006,Kitchen appliances,Home,5,4,1
USR-00057,CAT-011,Clothing,Style,13,13,0
USR-00057,CAT-014,Accessories,Style,5,2,3
USR-00057,CAT-015,Jewelry,Style,11,9,2
USR-00058,CAT-001,Smartphones,Digital,9,9,0
USR-00058,CAT-003,Headphones,Digital,6,5,1
USR-00058,CAT-004,Monitors,Digital,7,6,1
USR-00058,CAT-016,Skincare,Wellness,9,7,2
USR-00058,CAT-017,Haircare,Wellness,8,6,2
USR-00058,CAT-018,Supplements,Wellness,10,10,0
USR-00058,CAT-020,Personal care,Wellness,12,8,4
USR-00059,CAT-001,Smartphones,Digital,10,7,3
USR-00059,CAT-002,Laptops,Digital,12,11,1
USR-00059,CAT-003,Headphones,Digital,4,3,1
USR-00059,CAT-005,Storage,Digital,7,4,3
USR-00059,CAT-014,Accessories,Style,2,2,0
USR-00060,CAT-001,Smartphones,Digital,13,10,3
USR-00060,CAT-002,Laptops,Digital,11,8,3
USR-00060,CAT-004,Monitors,Digital,7,5,2
USR-00060,CAT-005,Storage,Digital,8,7,1
USR-00060,CAT-018,Supplements,Wellness,2,2,0
USR-00061,CAT-016,Skincare,Wellness,7,6,1
USR-00061,CAT-017,Haircare,Wellness,8,7,1
USR-00061,CAT-018,Supplements,Wellness,6,6,0
USR-00061,CAT-019,Fitness,Wellness,6,5,1
USR-00061,CAT-020,Personal care,Wellness,11,9,2
USR-00061,CAT-027,Camping,Outdoor,8,7,1
USR-00061,CAT-028,Garden,Outdoor,3,3,0
USR-00061,CAT-029,Automotive,Outdoor,4,3,1
USR-00062,CAT-011,Clothing,Style,14,11,3
USR-00062,CAT-012,Shoes,Style,11,7,4
USR-00062,CAT-013,Bags,Style,7,6,1
USR-00062,CAT-014,Accessories,Style,7,6,1
USR-00062,CAT-015,Jewelry,Style,7,7,0
USR-00062,CAT-016,Skincare,Wellness,2,2,0
USR-00062,CAT-023,Books,Family,2,2,0
USR-00063,CAT-017,Haircare,Wellness,10,8,2
USR-00063,CAT-018,Supplements,Wellness,6,6,0
USR-00063,CAT-020,Personal care,Wellness,11,7,4
USR-00063,CAT-022,Baby care,Family,3,3,0
USR-00064,CAT-004,Monitors,Digital,2,2,0
USR-00064,CAT-021,Toys,Family,7,5,2
USR-00064,CAT-022,Baby care,Family,12,10,2
USR-00064,CAT-023,Books,Family,9,7,2
USR-00064,CAT-024,Stationery,Family,14,10,4
USR-00064,CAT-025,Board games,Family,15,11,4
USR-00065,CAT-006,Kitchen appliances,Home,7,7,0
USR-00065,CAT-008,Coffee,Home,4,3,1
USR-00065,CAT-009,Lighting,Home,14,9,5
USR-00065,CAT-016,Skincare,Wellness,7,7,0
USR-00065,CAT-017,Haircare,Wellness,7,6,1
USR-00065,CAT-018,Supplements,Wellness,7,4,3
USR-00066,CAT-016,Skincare,Wellness,6,6,0
USR-00066,CAT-017,Haircare,Wellness,8,7,1
USR-00066,CAT-018,Supplements,Wellness,8,5,3
USR-00066,CAT-019,Fitness,Wellness,8,6,2
USR-00066,CAT-026,Cycling,Outdoor,2,2,0
USR-00067,CAT-014,Accessories,Style,3,1,2
USR-00067,CAT-016,Skincare,Wellness,7,5,2
USR-00067,CAT-017,Haircare,Wellness,9,7,2
USR-00067,CAT-018,Supplements,Wellness,9,6,3
USR-00067,CAT-019,Fitness,Wellness,18,14,4
USR-00067,CAT-020,Personal care,Wellness,5,4,1
USR-00067,CAT-023,Books,Family,1,1,0
USR-00068,CAT-001,Smartphones,Digital,7,5,2
USR-00068,CAT-003,Headphones,Digital,10,10,0
USR-00068,CAT-004,Monitors,Digital,4,3,1
USR-00068,CAT-006,Kitchen appliances,Home,6,4,2
USR-00068,CAT-007,Cleaning,Home,6,6,0
USR-00068,CAT-008,Coffee,Home,10,9,1
USR-00068,CAT-010,Bedding,Home,10,9,1
USR-00069,CAT-001,Smartphones,Digital,7,7,0
USR-00069,CAT-002,Laptops,Digital,7,6,1
USR-00069,CAT-003,Headphones,Digital,11,9,2
USR-00069,CAT-004,Monitors,Digital,8,6,2
USR-00069,CAT-005,Storage,Digital,11,8,3
USR-00069,CAT-006,Kitchen appliances,Home,4,3,1
USR-00069,CAT-028,Garden,Outdoor,3,3,0
USR-00070,CAT-007,Cleaning,Home,2,1,1
USR-00070,CAT-011,Clothing,Style,10,10,0
USR-00070,CAT-013,Bags,Style,7,5,2
USR-00070,CAT-014,Accessories,Style,4,4,0
USR-00070,CAT-015,Jewelry,Style,10,5,5
USR-00071,CAT-001,Smartphones,Digital,6,5,1
USR-00071,CAT-002,Laptops,Digital,8,7,1
USR-00071,CAT-004,Monitors,Digital,11,7,4
USR-00071,CAT-006,Kitchen appliances,Home,11,10,1
USR-00071,CAT-007,Cleaning,Home,10,6,4
USR-00071,CAT-008,Coffee,Home,9,9,0
USR-00071,CAT-010,Bedding,Home,10,5,5
USR-00072,CAT-013,Bags,Style,8,5,3
USR-00072,CAT-014,Accessories,Style,8,7,1
USR-00072,CAT-015,Jewelry,Style,8,5,3
USR-00073,CAT-016,Skincare,Wellness,7,4,3
USR-00073,CAT-018,Supplements,Wellness,7,4,3
USR-00073,CAT-020,Personal care,Wellness,6,6,0
USR-00073,CAT-021,Toys,Family,13,13,0
USR-00073,CAT-022,Baby care,Family,6,5,1
USR-00073,CAT-023,Books,Family,7,3,4
USR-00073,CAT-024,Stationery,Family,8,7,1
USR-00073,CAT-025,Board games,Family,10,8,2
USR-00074,CAT-006,Kitchen appliances,Home,12,10,2
USR-00074,CAT-008,Coffee,Home,12,9,3
USR-00074,CAT-009,Lighting,Home,9,6,3
USR-00074,CAT-010,Bedding,Home,10,7,3
USR-00074,CAT-019,Fitness,Wellness,4,4,0
USR-00075,CAT-001,Smartphones,Digital,8,7,1
USR-00075,CAT-002,Laptops,Digital,9,9,0
USR-00075,CAT-003,Headphones,Digital,7,6,1
USR-00075,CAT-004,Monitors,Digital,10,9,1
USR-00075,CAT-005,Storage,Digital,8,8,0
USR-00075,CAT-030,Sports,Outdoor,3,2,1
USR-00076,CAT-002,Laptops,Digital,3,3,0
USR-00076,CAT-006,Kitchen appliances,Home,6,5,1
USR-00076,CAT-008,Coffee,Home,14,11,3
USR-00076,CAT-009,Lighting,Home,11,9,2
USR-00076,CAT-029,Automotive,Outdoor,3,3,0
USR-00077,CAT-006,Kitchen appliances,Home,7,7,0
USR-00077,CAT-007,Cleaning,Home,5,5,0
USR-00077,CAT-008,Coffee,Home,9,5,4
USR-00077,CAT-009,Lighting,Home,8,7,1
USR-00077,CAT-010,Bedding,Home,9,7,2
USR-00077,CAT-017,Haircare,Wellness,3,2,1
USR-00078,CAT-013,Bags,Style,2,1,1
USR-00078,CAT-016,Skincare,Wellness,8,4,4
USR-00078,CAT-017,Haircare,Wellness,7,6,1
USR-00078,CAT-018,Supplements,Wellness,9,9,0
USR-00078,CAT-019,Fitness,Wellness,4,3,1
USR-00078,CAT-020,Personal care,Wellness,11,8,3
USR-00079,CAT-012,Shoes,Style,3,3,0
USR-00079,CAT-016,Skincare,Wellness,8,7,1
USR-00079,CAT-017,Haircare,Wellness,12,10,2
USR-00079,CAT-018,Supplements,Wellness,11,8,3
USR-00079,CAT-020,Personal care,Wellness,4,3,1
USR-00080,CAT-022,Baby care,Family,10,5,5
USR-00080,CAT-023,Books,Family,7,5,2
USR-00080,CAT-024,Stationery,Family,9,7,2
USR-00080,CAT-025,Board games,Family,9,9,0
USR-00081,CAT-004,Monitors,Digital,6,5,1
USR-00081,CAT-015,Jewelry,Style,4,4,0
USR-00081,CAT-016,Skincare,Wellness,9,9,0
USR-00081,CAT-017,Haircare,Wellness,8,5,3
USR-00081,CAT-020,Personal care,Wellness,11,7,4
USR-00082,CAT-011,Clothing,Style,11,9,2
USR-00082,CAT-012,Shoes,Style,10,9,1
USR-00082,CAT-013,Bags,Style,10,9,1
USR-00082,CAT-015,Jewelry,Style,8,6,2
USR-00082,CAT-022,Baby care,Family,2,2,0
USR-00083,CAT-001,Smartphones,Digital,2,2,0
USR-00083,CAT-021,Toys,Family,9,7,2
USR-00083,CAT-022,Baby care,Family,6,3,3
USR-00083,CAT-023,Books,Family,9,6,3
USR-00083,CAT-024,Stationery,Family,8,7,1
USR-00084,CAT-001,Smartphones,Digital,8,6,2
USR-00084,CAT-002,Laptops,Digital,8,8,0
USR-00084,CAT-004,Monitors,Digital,3,3,0
USR-00084,CAT-005,Storage,Digital,14,10,4
USR-00084,CAT-022,Baby care,Family,4,3,1
USR-00084,CAT-030,Sports,Outdoor,2,2,0
USR-00085,CAT-001,Smartphones,Digital,8,6,2
USR-00085,CAT-002,Laptops,Digital,7,4,3
USR-00085,CAT-003,Headphones,Digital,10,9,1
USR-00085,CAT-004,Monitors,Digital,9,7,2
USR-00085,CAT-005,Storage,Digital,9,9,0
USR-00085,CAT-022,Baby care,Family,7,6,1
USR-00085,CAT-023,Books,Family,3,3,0
USR-00085,CAT-024,Stationery,Family,12,10,2
USR-00086,CAT-001,Smartphones,Digital,8,5,3
USR-00086,CAT-002,Laptops,Digital,8,8,0
USR-00086,CAT-003,Headphones,Digital,7,6,1
USR-00086,CAT-004,Monitors,Digital,6,6,0
USR-00086,CAT-005,Storage,Digital,13,12,1
USR-00086,CAT-026,Cycling,Outdoor,2,2,0
USR-00086,CAT-029,Automotive,Outdoor,7,6,1
USR-00086,CAT-030,Sports,Outdoor,8,5,3
USR-00087,CAT-016,Skincare,Wellness,4,3,1
USR-00087,CAT-019,Fitness,Wellness,4,4,0
USR-00087,CAT-020,Personal care,Wellness,7,6,1
USR-00087,CAT-021,Toys,Family,5,5,0
USR-00087,CAT-022,Baby care,Family,4,3,1
USR-00087,CAT-023,Books,Family,14,14,0
USR-00087,CAT-024,Stationery,Family,5,4,1
USR-00087,CAT-025,Board games,Family,6,6,0
USR-00088,CAT-011,Clothing,Style,7,6,1
USR-00088,CAT-013,Bags,Style,7,6,1
USR-00088,CAT-014,Accessories,Style,10,9,1
USR-00088,CAT-015,Jewelry,Style,3,2,1
USR-00088,CAT-016,Skincare,Wellness,10,8,2
USR-00088,CAT-017,Haircare,Wellness,5,3,2
USR-00088,CAT-018,Supplements,Wellness,5,5,0
USR-00089,CAT-001,Smartphones,Digital,7,6,1
USR-00089,CAT-002,Laptops,Digital,9,8,1
USR-00089,CAT-003,Headphones,Digital,12,9,3
USR-00089,CAT-004,Monitors,Digital,10,9,1
USR-00089,CAT-005,Storage,Digital,8,6,2
USR-00089,CAT-027,Camping,Outdoor,3,2,1
USR-00089,CAT-028,Garden,Outdoor,2,2,0
USR-00090,CAT-011,Clothing,Style,9,6,3
USR-00090,CAT-013,Bags,Style,13,7,6
USR-00090,CAT-014,Accessories,Style,10,7,3
USR-00090,CAT-015,Jewelry,Style,7,7,0
USR-00090,CAT-016,Skincare,Wellness,7,7,0
USR-00090,CAT-019,Fitness,Wellness,9,8,1
USR-00090,CAT-020,Personal care,Wellness,11,9,2
USR-00091,CAT-001,Smartphones,Digital,9,7,2
USR-00091,CAT-002,Laptops,Digital,9,5,4
USR-00091,CAT-003,Headphones,Digital,8,6,2
USR-00091,CAT-026,Cycling,Outdoor,1,1,0
