node_id,node_type,planted_community
USR-00121,user,3
USR-00122,user,3
USR-00123,user,0
USR-00124,user,2
USR-00125,user,0
USR-00126,user,2
USR-00127,user,1
USR-00128,user,0
USR-00129,user,0
USR-00130,user,3
USR-00131,user,0
USR-00132,user,5
USR-00133,user,3
USR-00134,user,1
USR-00135,user,3
USR-00136,user,0
USR-00137,user,5
USR-00138,user,2
USR-00139,user,4
USR-00140,user,0
USR-00141,user,2
USR-00142,user,2
USR-00143,user,5
USR-00144,user,3
USR-00145,user,2
USR-00146,user,1
USR-00147,user,1
USR-00148,user,2
USR-00149,user,2
USR-00150,user,0
USR-00151,user,4
USR-00152,user,5
USR-00153,user,0
USR-00154,user,3
USR-00155,user,0
USR-00156,user,3
USR-00157,user,1
USR-00158,user,3
USR-00159,user,4
USR-00160,user,4
USR-00161,user,0
USR-00162,user,5
USR-00163,user,1
USR-00164,user,0
USR-00165,user,3
USR-00166,user,1
USR-00167,user,4
USR-00168,user,4
USR-00169,user,1
USR-00170,user,5
USR-00171,user,1
USR-00172,user,2
USR-00173,user,1
USR-00174,user,5
USR-00175,user,0
USR-00176,user,0
USR-00177,user,2
USR-00178,user,5
USR-00179,user,5
USR-00180,user,4
USR-00181,user,5
USR-00182,user,5
USR-00183,user,2
USR-00184,user,1
USR-00185,user,4
USR-00186,user,3
USR-00187,user,1
USR-00188,user,0
USR-00189,user,4
USR-00190,user,1
USR-00191,user,5
USR-00192,user,1
USR-00193,user,0
USR-00194,user,4
USR-00195,user,0
USR-00196,user,0
USR-00197,user,3
USR-00198,user,5
USR-00199,user,0
USR-00200,user,1
USR-00201,user,4
USR-00202,user,5
USR-00203,user,2
USR-00204,user,0
USR-00205,user,0
USR-00206,user,1
USR-00207,user,0
USR-00208,user,3
USR-00209,user,0
USR-00210,user,2
USR-00211,user,3
USR-00212,user,3
USR-00213,user,0
USR-00214,user,4
USR-00215,user,4
USR-00216,user,4
USR-00217,user,0
USR-00218,user,0
USR-00219,user,5
USR-00220,user,2
USR-00221,user,1
USR-00222,user,2
USR-00223,user,3
USR-00224,user,5
USR-00225,user,1
USR-00226,user,5
USR-00227,user,0
USR-00228,user,3
USR-00229,user,3
USR-00230,user,0
USR-00231,user,0
USR-00232,user,2
USR-00233,user,5
USR-00234,user,3
USR-00235,user,5
USR-00236,user,4
USR-00237,user,2
USR-00238,user,4
USR-00239,user,0
USR-00240,user,0
USR-00241,user,4
USR-00242,user,4
USR-00243,user,1
USR-00244,user,2
USR-00245,user,3
USR-00246,user,5
USR-00247,user,3
USR-00248,user,2
USR-00249,user,1
USR-00250,user,2
USR-00251,user,3
USR-00252,user,5
USR-00253,user,2
USR-00254,user,1
USR-00255,user,1
USR-00256,user,4
USR-00257,user,4
USR-00258,user,0
USR-00259,user,0
USR-00260,user,3
USR-00261,user,0
USR-00262,user,4
USR-00263,user,1
USR-00264,user,0
USR-00265,user,5
USR-00266,user,0
USR-00267,user,1
USR-00268,user,0
USR-00269,user,0
USR-00270,user,0
USR-00271,user,0
USR-00272,user,0
USR-00273,user,0
USR-00274,user,3
USR-00275,user,3
USR-00276,user,2
USR-00277,user,1
USR-00278,user,2
USR-00279,user,5
USR-00280,user,4
USR-00281,user,0
USR-00282,user,0
USR-00283,user,1
USR-00284,user,1
USR-00285,user,3
USR-00286,user,2
USR-00287,user,0
USR-00288,user,1
USR-00289,user,2
USR-00290,user,0
USR-00291,user,4
USR-00292,user,0
USR-00293,user,5
USR-00294,user,0
USR-00295,user,4
USR-00296,user,5
USR-00297,user,5
USR-00298,user,4
USR-00299,user,4
USR-00300,user,3
USR-00301,user,4
USR-00302,user,0
USR-00303,user,2
USR-00304,user,2
USR-00305,user,4
USR-00306,user,2
USR-00307,user,2
USR-00308,user,3
USR-00309,user,1
USR-00310,user,0
USR-00311,user,2
USR-00312,user,2
USR-00313,user,1
USR-00314,user,1
USR-00315,user,1
USR-00316,user,1
USR-00317,user,1
USR-00318,user,3
USR-00319,user,1
USR-00320,user,5
USR-00321,user,5
USR-00322,user,2
USR-00323,user,1
USR-00324,user,2
USR-00325,user,4
USR-00326,user,3
USR-00327,user,4
USR-00328,user,2
USR-00329,user,3
USR-00330,user,1
USR-00331,user,4
USR-00332,user,1
USR-00333,user,3
USR-00334,user,5
USR-00335,user,0
USR-00336,user,3
USR-00337,user,0
USR-00338,user,4
USR-00339,user,0
USR-00340,user,5
USR-00341,user,0
USR-00342,user,5
USR-00343,user,4
USR-00344,user,3
USR-00345,user,4
USR-00346,user,4
USR-00347,user,5
USR-00348,user,1
USR-00349,user,3
USR-00350,user,0
USR-00351,user,3
USR-00352,user,0
USR-00353,user,3
USR-00354,user,3
USR-00355,user,2
USR-00356,user,2
USR-00357,user,4
USR-00358,user,4
USR-00359,user,2
USR-00360,user,3
USR-00361,user,5
USR-00362,user,0
USR-00363,user,0
USR-00364,user,0
USR-00365,user,3
USR-00366,user,2
USR-00367,user,4
USR-00368,user,3
USR-00369,user,1
USR-00370,user,5
USR-00371,user,4
USR-00372,user,1
USR-00373,user,1
USR-00374,user,1
USR-00375,user,0
USR-00376,user,0
USR-00377,user,5
USR-00378,user,2
USR-00379,user,2
USR-00380,user,4
USR-00381,user,3
USR-00382,user,5
USR-00383,user,4
USR-00384,user,2
USR-00385,user,1
USR-00386,user,5
USR-00387,user,4
USR-00388,user,5
USR-00389,user,0
USR-00390,user,4
USR-00391,user,3
USR-00392,user,0
USR-00393,user,3
USR-00394,user,3
USR-00395,user,0
USR-00396,user,2
USR-00397,user,4
USR-00398,user,1
USR-00399,user,2
USR-00400,user,2
USR-00401,user,1
USR-00402,user,5
USR-00403,user,4
USR-00404,user,0
USR-00405,user,5
USR-00406,user,5
USR-00407,user,1
USR-00408,user,4
USR-00409,user,0
USR-00410,user,5
USR-00411,user,3
USR-00412,user,3
USR-00413,user,0
USR-00414,user,5
USR-00415,user,0
USR-00416,user,1
USR-00417,user,0
USR-00418,user,4
USR-00419,user,0
USR-00420,user,5
USR-00421,user,3
USR-00422,user,0
USR-00423,user,0
USR-00424,user,0
USR-00425,user,3
USR-00426,user,4
USR-00427,user,1
USR-00428,user,4
USR-00429,user,0
USR-00430,user,4
USR-00431,user,5
USR-00432,user,4
USR-00433,user,3
USR-00434,user,4
USR-00435,user,0
USR-00436,user,1
USR-00437,user,0
USR-00438,user,2
USR-00439,user,4
USR-00440,user,3
USR-00441,user,4
USR-00442,user,0
USR-00443,user,4
USR-00444,user,0
USR-00445,user,1
USR-00446,user,3
USR-00447,user,5
USR-00448,user,3
USR-00449,user,0
USR-00450,user,3
USR-00451,user,0
USR-00452,user,5
USR-00453,user,3
USR-00454,user,0
USR-00455,user,0
USR-00456,user,0
USR-00457,user,5
USR-00458,user,2
USR-00459,user,4
USR-00460,user,3
USR-00461,user,3
USR-00462,user,0
USR-00463,user,5
USR-00464,user,1
USR-00465,user,3
USR-00466,user,3
USR-00467,user,3
USR-00468,user,5
USR-00469,user,0
USR-00470,user,2
USR-00471,user,2
USR-00472,user,2
USR-00473,user,0
USR-00474,user,0
USR-00475,user,1
USR-00476,user,1
USR-00477,user,2
USR-00478,user,3
USR-00479,user,3
USR-00480,user,2
USR-00481,user,2
USR-00482,user,1
USR-00483,user,3
USR-00484,user,1
USR-00485,user,0
USR-00486,user,2
USR-00487,user,2
USR-00488,user,1
USR-00489,user,3
USR-00490,user,3
USR-00491,user,3
USR-00492,user,3
USR-00493,user,3
USR-00494,user,1
USR-00495,user,4
USR-00496,user,2
USR-00497,user,2
USR-00498,user,3
USR-00499,user,1
USR-00500,user,2
USR-00501,user,4
USR-00502,user,5
USR-00503,user,5
USR-00504,user,2
USR-00505,user,2
USR-00506,user,4
USR-00507,user,1
USR-00508,user,4
USR-00509,user,2
USR-00510,user,0
USR-00511,user,0
USR-00512,user,4
USR-00513,user,0
USR-00514,user,1
USR-00515,user,1
USR-00516,user,0
USR-00517,user,1
USR-00518,user,4
USR-00519,user,0
USR-00520,user,4
USR-00521,user,4
USR-00522,user,1
USR-00523,user,0
USR-00524,user,3
USR-00525,user,0
USR-00526,user,1
USR-00527,user,5
USR-00528,user,5
USR-00529,user,4
USR-00530,user,1
USR-00531,user,3
USR-00532,user,3
USR-00533,user,2
USR-00534,user,3
USR-00535,user,0
USR-00536,user,1
USR-00537,user,2
USR-00538,user,0
USR-00539,user,0
USR-00540,user,4
USR-00541,user,5
USR-00542,user,3
USR-00543,user,4
USR-00544,user,5
USR-00545,user,0
USR-00546,user,2
USR-00547,user,2
USR-00548,user,0
USR-00549,user,4
USR-00550,user,2
USR-00551,user,2
USR-00552,user,0
USR-00553,user,0
USR-00554,user,5
USR-00555,user,0
USR-00556,user,1
USR-00557,user,1
USR-00558,user,2
USR-00559,user,3
USR-00560,user,2
USR-00561,user,0
USR-00562,user,1
USR-00563,user,4
USR-00564,user,3
USR-00565,user,3
USR-00566,user,3
USR-00567,user,4
USR-00568,user,0
USR-00569,user,1
USR-00570,user,2
USR-00571,user,1
USR-00572,user,4
USR-00573,user,2
USR-00574,user,4
USR-00575,user,4
USR-00576,user,2
USR-00577,user,5
USR-00578,user,3
USR-00579,user,4
USR-00580,user,1
USR-00581,user,2
USR-00582,user,2
USR-00583,user,0
USR-00584,user,2
USR-00585,user,5
USR-00586,user,3
USR-00587,user,0
USR-00588,user,1
USR-00589,user,0
USR-00590,user,0
USR-00591,user,5
USR-00592,user,2
USR-00593,user,1
USR-00594,user,3
USR-00595,user,0
USR-00596,user,1
USR-00597,user,3
USR-00598,user,3
USR-00599,user,5
USR-00600,user,3
USR-00601,user,2
USR-00602,user,4
USR-00603,user,5
USR-00604,user,4
USR-00605,user,5
USR-00606,user,4
USR-00607,user,5
USR-00608,user,0
USR-00609,user,4
USR-00610,user,2
USR-00611,user,3
USR-00612,user,3
USR-00613,user,5
USR-00614,user,5
USR-00615,user,1
USR-00616,user,4
USR-00617,user,4
USR-00618,user,1
USR-00619,user,0
USR-00620,user,0
USR-00621,user,4
USR-00622,user,2
USR-00623,user,5
USR-00624,user,2
USR-00625,user,5
USR-00626,user,2
USR-00627,user,4
USR-00628,user,0
USR-00629,user,3
USR-00630,user,4
USR-00631,user,5
USR-00632,user,4
USR-00633,user,0
USR-00634,user,1
USR-00635,user,0
USR-00636,user,0
USR-00637,user,3
USR-00638,user,4
USR-00639,user,4
USR-00640,user,5
USR-00641,user,4
USR-00642,user,4
USR-00643,user,0
USR-00644,user,1
USR-00645,user,3
USR-00646,user,4
USR-00647,user,0
USR-00648,user,2
USR-00649,user,3
USR-00650,user,0
USR-00651,user,2
USR-00652,user,5
USR-00653,user,3
USR-00654,user,1
USR-00655,user,4
USR-00656,user,1
USR-00657,user,4
USR-00658,user,1
USR-00659,user,3
USR-00660,user,2
USR-00661,user,1
USR-00662,user,5
USR-00663,user,0
USR-00664,user,0
USR-00665,user,1
USR-00666,user,4
USR-00667,user,4
USR-00668,user,5
USR-00669,user,1
USR-00670,user,2
USR-00671,user,0
USR-00672,user,3
USR-00673,user,5
USR-00674,user,3
USR-00675,user,3
USR-00676,user,2
USR-00677,user,5
USR-00678,user,2
USR-00679,user,0
USR-00680,user,1
USR-00681,user,0
USR-00682,user,1
USR-00683,user,0
USR-00684,user,2
USR-00685,user,3
USR-00686,user,1
USR-00687,user,2
USR-00688,user,5
USR-00689,user,4
USR-00690,user,2
USR-00691,user,1
USR-00692,user,5
USR-00693,user,1
USR-00694,user,1
USR-00695,user,5
USR-00696,user,2
USR-00697,user,4
USR-00698,user,3
USR-00699,user,3
USR-00700,user,1
USR-00701,user,1
USR-00702,user,1
USR-00703,user,0
USR-00704,user,5
USR-00705,user,1
USR-00706,user,3
USR-00707,user,4
USR-00708,user,4
USR-00709,user,2
USR-00710,user,2
USR-00711,user,5
USR-00712,user,3
USR-00713,user,4
USR-00714,user,5
USR-00715,user,4
USR-00716,user,0
USR-00717,user,3
USR-00718,user,0
USR-00719,user,3
USR-00720,user,5
USR-00721,user,2
USR-00722,user,2
USR-00723,user,0
USR-00724,user,5
USR-00725,user,0
USR-00726,user,0
USR-00727,user,1
USR-00728,user,0
USR-00729,user,2
USR-00730,user,2
USR-00731,user,1
USR-00732,user,0
USR-00733,user,0
USR-00734,user,2
USR-00735,user,0
USR-00736,user,3
USR-00737,user,1
USR-00738,user,1
USR-00739,user,2
USR-00740,user,2
USR-00741,user,0
USR-00742,user,0
USR-00743,user,5
USR-00744,user,0
USR-00745,user,2
USR-00746,user,2
USR-00747,user,1
USR-00748,user,2
USR-00749,user,4
USR-00750,user,4
USR-00751,user,1
USR-00752,user,1
USR-00753,user,1
USR-00754,user,2
USR-00755,user,3
USR-00756,user,1
USR-00757,user,1
USR-00758,user,5
USR-00759,user,0
USR-00760,user,2
USR-00761,user,4
USR-00762,user,0
USR-00763,user,0
USR-00764,user,0
USR-00765,user,5
USR-00766,user,0
USR-00767,user,0
USR-00768,user,0
USR-00769,user,0
USR-00770,user,3
USR-00771,user,1
USR-00772,user,3
USR-00773,user,3
USR-00774,user,4
USR-00775,user,0
USR-00776,user,4
USR-00777,user,3
USR-00778,user,0
USR-00779,user,4
USR-00780,user,4
USR-00781,user,1
USR-00782,user,5
USR-00783,user,2
USR-00784,user,3
USR-00785,user,5
USR-00786,user,1
USR-00787,user,4
USR-00788,user,1
USR-00789,user,4
USR-00790,user,3
USR-00791,user,1
USR-00792,user,2
USR-00793,user,1
USR-00794,user,0
USR-00795,user,0
USR-00796,user,1
USR-00797,user,0
USR-00798,user,0
USR-00799,user,4
USR-00800,user,3
USR-00801,user,4
USR-00802,user,1
USR-00803,user,5
USR-00804,user,3
USR-00805,user,0
USR-00806,user,0
USR-00807,user,3
USR-00808,user,0
USR-00809,user,2
USR-00810,user,5
USR-00811,user,0
USR-00812,user,0
USR-00813,user,5
USR-00814,user,3
USR-00815,user,0
USR-00816,user,5
USR-00817,user,5
USR-00818,user,2
USR-00819,user,3
USR-00820,user,1
USR-00821,user,0
USR-00822,user,3
USR-00823,user,1
USR-00824,user,3
USR-00825,user,4
USR-00826,user,0
USR-00827,user,3
USR-00828,user,1
USR-00829,user,5
USR-00830,user,1
USR-00831,user,3
USR-00832,user,3
USR-00833,user,2
USR-00834,user,3
USR-00835,user,4
USR-00836,user,3
USR-00837,user,4
USR-00838,user,5
USR-00839,user,2
USR-00840,user,2
USR-00841,user,0
USR-00842,user,4
USR-00843,user,2
USR-00844,user,2
USR-00845,user,0
USR-00846,user,5
USR-00847,user,2
USR-00848,user,3
USR-00849,user,0
USR-00850,user,5
USR-00851,user,0
USR-00852,user,0
USR-00853,user,4
USR-00854,user,5
USR-00855,user,1
USR-00856,user,2
USR-00857,user,4
USR-00858,user,5
USR-00859,user,1
USR-00860,user,2
USR-00861,user,4
USR-00862,user,4
USR-00863,user,4
USR-00864,user,3
USR-00865,user,0
USR-00866,user,5
USR-00867,user,5
USR-00868,user,4
USR-00869,user,0
USR-00870,user,1
USR-00871,user,4
USR-00872,user,0
USR-00873,user,5
USR-00874,user,1
USR-00875,user,4
USR-00876,user,5
USR-00877,user,2
USR-00878,user,1
USR-00879,user,3
USR-00880,user,3
USR-00881,user,2
USR-00882,user,3
USR-00883,user,5
USR-00884,user,2
USR-00885,user,0
USR-00886,user,1
USR-00887,user,2
USR-00888,user,0
USR-00889,user,0
USR-00890,user,3
USR-00891,user,1
USR-00892,user,5
USR-00893,user,1
USR-00894,user,0
USR-00895,user,4
USR-00896,user,5
USR-00897,user,1
USR-00898,user,1
USR-00899,user,0
USR-00900,user,2
USR-00901,user,2
USR-00902,user,1
USR-00903,user,0
USR-00904,user,2
USR-00905,user,5
USR-00906,user,3
USR-00907,user,2
USR-00908,user,0
USR-00909,user,1
USR-00910,user,1
USR-00911,user,4
USR-00912,user,5
USR-00913,user,5
USR-00914,user,5
USR-00915,user,5
USR-00916,user,5
USR-00917,user,0
USR-00918,user,0
USR-00919,user,1
USR-00920,user,3
USR-00921,user,0
USR-00922,user,4
USR-00923,user,3
USR-00924,user,2
USR-00925,user,0
USR-00926,user,1
USR-00927,user,0
USR-00928,user,4
USR-00929,user,3
USR-00930,user,4
USR-00931,user,1
USR-00932,user,1
USR-00933,user,2
USR-00934,user,4
USR-00935,user,4
USR-00936,user,1
USR-00937,user,5
USR-00938,user,0
USR-00939,user,5
USR-00940,user,0
USR-00941,user,1
USR-00942,user,4
USR-00943,user,0
USR-00944,user,2
USR-00945,user,2
USR-00946,user,1
USR-00947,user,4
USR-00948,user,4
USR-00949,user,5
USR-00950,user,1
USR-00951,user,2
USR-00952,user,1
USR-00953,user,1
USR-00954,user,0
USR-00955,user,5
USR-00956,user,5
USR-00957,user,4
USR-00958,user,2
USR-00959,user,2
USR-00960,user,2
USR-00961,user,2
USR-00962,user,2
USR-00963,user,0
USR-00964,user,0
USR-00965,user,5
USR-00966,user,2
USR-00967,user,5
USR-00968,user,0
USR-00969,user,3
USR-00970,user,1
USR-00971,user,1
USR-00972,user,0
USR-00973,user,0
USR-00974,user,5
USR-00975,user,1
USR-00976,user,3
USR-00977,user,2
USR-00978,user,2
USR-00979,user,2
USR-00980,user,0
USR-00981,user,5
USR-00982,user,4
USR-00983,user,4
USR-00984,user,2
USR-00985,user,0
USR-00986,user,5
USR-00987,user,1
USR-00988,user,0
USR-00989,user,1
USR-00990,user,4
USR-00991,user,3
USR-00992,user,4
USR-00993,user,4
USR-00994,user,1
USR-00995,user,5
USR-00996,user,2
USR-00997,user,3
USR-00998,user,0
USR-00999,user,5
USR-01000,user,1
USR-01001,user,0
USR-01002,user,2
USR-01003,user,0
USR-01004,user,0
USR-01005,user,3
USR-01006,user,2
USR-01007,user,5
USR-01008,user,1
USR-01009,user,4
USR-01010,user,2
USR-01011,user,3
USR-01012,user,3
USR-01013,user,2
USR-01014,user,5
USR-01015,user,1
USR-01016,user,0
USR-01017,user,3
USR-01018,user,4
USR-01019,user,0
USR-01020,user,2
USR-01021,user,5
USR-01022,user,4
USR-01023,user,5
USR-01024,user,2
USR-01025,user,3
USR-01026,user,1
USR-01027,user,5
USR-01028,user,1
USR-01029,user,4
USR-01030,user,2
USR-01031,user,3
USR-01032,user,4
USR-01033,user,2
USR-01034,user,5
USR-01035,user,2
USR-01036,user,3
USR-01037,user,1
USR-01038,user,2
USR-01039,user,2
USR-01040,user,0
USR-01041,user,0
USR-01042,user,3
USR-01043,user,3
USR-01044,user,3
USR-01045,user,0
USR-01046,user,1
USR-01047,user,0
USR-01048,user,4
USR-01049,user,5
USR-01050,user,1
USR-01051,user,3
USR-01052,user,0
USR-01053,user,1
USR-01054,user,0
USR-01055,user,1
USR-01056,user,3
USR-01057,user,5
USR-01058,user,1
USR-01059,user,2
USR-01060,user,3
USR-01061,user,5
USR-01062,user,3
USR-01063,user,1
USR-01064,user,3
USR-01065,user,1
USR-01066,user,5
USR-01067,user,2
USR-01068,user,3
USR-01069,user,0
USR-01070,user,2
USR-01071,user,5
USR-01072,user,3
USR-01073,user,2
USR-01074,user,5
USR-01075,user,4
USR-01076,user,1
USR-01077,user,2
USR-01078,user,2
USR-01079,user,3
USR-01080,user,1
USR-01081,user,1
USR-01082,user,5
USR-01083,user,5
USR-01084,user,4
USR-01085,user,5
USR-01086,user,4
USR-01087,user,4
USR-01088,user,4
USR-01089,user,2
USR-01090,user,2
USR-01091,user,1
USR-01092,user,3
USR-01093,user,1
USR-01094,user,1
USR-01095,user,3
USR-01096,user,2
USR-01097,user,1
USR-01098,user,4
USR-01099,user,5
USR-01100,user,0
USR-01101,user,0
USR-01102,user,1
USR-01103,user,4
USR-01104,user,4
USR-01105,user,0
USR-01106,user,4
USR-01107,user,0
USR-01108,user,2
USR-01109,user,5
USR-01110,user,0
USR-01111,user,0
USR-01112,user,2
USR-01113,user,3
USR-01114,user,5
USR-01115,user,5
USR-01116,user,0
USR-01117,user,0
USR-01118,user,4
USR-01119,user,1
USR-01120,user,5
USR-01121,user,3
USR-01122,user,0
USR-01123,user,4
USR-01124,user,0
USR-01125,user,2
USR-01126,user,3
USR-01127,user,2
USR-01128,user,3
USR-01129,user,3
USR-01130,user,5
USR-01131,user,5
USR-01132,user,2
USR-01133,user,0
USR-01134,user,4
USR-01135,user,5
USR-01136,user,1
USR-01137,user,2
USR-01138,user,2
USR-01139,user,0
USR-01140,user,3
USR-01141,user,1
USR-01142,user,4
USR-01143,user,4
USR-01144,user,4
USR-01145,user,2
USR-01146,user,1
USR-01147,user,4
USR-01148,user,4
USR-01149,user,2
USR-01150,user,5
USR-01151,user,0
USR-01152,user,5
USR-01153,user,0
USR-01154,user,0
USR-01155,user,2
USR-01156,user,0
USR-01157,user,0
USR-01158,user,0
USR-01159,user,2
USR-01160,user,4
USR-01161,user,0
USR-01162,user,3
USR-01163,user,4
USR-01164,user,0
USR-01165,user,0
USR-01166,user,5
USR-01167,user,4
USR-01168,user,2
USR-01169,user,4
USR-01170,user,0
USR-01171,user,2
USR-01172,user,4
USR-01173,user,1
USR-01174,user,4
USR-01175,user,2
USR-01176,user,4
USR-01177,user,2
USR-01178,user,1
USR-01179,user,1
USR-01180,user,1
USR-01181,user,4
USR-01182,user,0
USR-01183,user,0
USR-01184,user,0
USR-01185,user,0
USR-01186,user,4
USR-01187,user,2
USR-01188,user,5
USR-01189,user,0
USR-01190,user,3
USR-01191,user,2
USR-01192,user,2
USR-01193,user,5
USR-01194,user,5
USR-01195,user,5
USR-01196,user,0
USR-01197,user,1
USR-01198,user,3
USR-01199,user,1
USR-01200,user,4
